method,game,iter,reward
brute,airstriker,797,240
brute,airstriker,798,640
brute,airstriker,799,600
brute,airstriker,800,520
brute,airstriker,801,520
brute,airstriker,802,960
brute,airstriker,803,360
brute,airstriker,804,940
brute,airstriker,805,560
brute,airstriker,806,1020
brute,airstriker,807,940
brute,airstriker,808,900
brute,airstriker,809,500
brute,airstriker,810,1020
brute,airstriker,811,360
brute,airstriker,812,200
brute,airstriker,813,920
brute,airstriker,814,380
brute,airstriker,815,620
brute,airstriker,816,1020
brute,airstriker,817,420
brute,airstriker,818,1020
brute,airstriker,819,1020
brute,airstriker,820,180
brute,airstriker,821,420
brute,airstriker,822,960
brute,airstriker,823,460
brute,airstriker,824,500
brute,airstriker,825,960
brute,airstriker,826,1020
brute,airstriker,827,760
brute,airstriker,828,1020
brute,airstriker,829,620
brute,airstriker,830,940
brute,airstriker,831,500
brute,airstriker,832,200
brute,airstriker,833,180
brute,airstriker,834,1020
brute,airstriker,835,1020
brute,airstriker,836,420
brute,airstriker,837,400
brute,airstriker,838,940
brute,airstriker,839,220
brute,airstriker,840,320
brute,airstriker,841,220
brute,airstriker,842,1020
brute,airstriker,843,400
brute,airstriker,844,780
brute,airstriker,845,1020
brute,airstriker,846,440
brute,airstriker,847,200
brute,airstriker,848,820
brute,airstriker,849,900
brute,airstriker,850,260
brute,airstriker,851,760
brute,airstriker,852,420
brute,airstriker,853,520
brute,airstriker,854,240
brute,airstriker,855,1020
brute,airstriker,856,1020
brute,airstriker,857,980
brute,airstriker,858,400
brute,airstriker,859,1020
brute,airstriker,860,600
brute,airstriker,861,780
brute,airstriker,862,180
brute,airstriker,863,980
brute,airstriker,864,180
brute,airstriker,865,1020
brute,airstriker,866,520
brute,airstriker,867,900
brute,airstriker,868,1020
brute,airstriker,869,760
brute,airstriker,870,1020
brute,airstriker,871,300
brute,airstriker,872,440
brute,airstriker,873,1020
brute,airstriker,874,520
brute,airstriker,875,460
brute,airstriker,876,400
brute,airstriker,877,960
brute,airstriker,878,340
brute,airstriker,879,400
brute,airstriker,880,420
brute,airstriker,881,1020
brute,airstriker,882,840
brute,airstriker,883,1020
brute,airstriker,884,300
brute,airstriker,885,360
brute,airstriker,886,420
brute,airstriker,887,1020
brute,airstriker,888,200
brute,airstriker,889,480
brute,airstriker,890,520
brute,airstriker,891,920
brute,airstriker,892,1020
brute,airstriker,893,1020
brute,airstriker,894,660
brute,airstriker,895,940
brute,airstriker,896,1020
brute,airstriker,897,160
brute,airstriker,898,1020
brute,airstriker,899,460
brute,airstriker,900,500
brute,airstriker,901,280
brute,airstriker,902,440
brute,airstriker,903,240
brute,airstriker,904,280
brute,airstriker,905,560
brute,airstriker,906,860
brute,airstriker,907,420
brute,airstriker,908,1020
brute,airstriker,909,140
brute,airstriker,910,1020
brute,airstriker,911,1020
brute,airstriker,912,1020
